,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV
432,07/12/2022,S8S109FN4Q64,DRYDEN HARFORD ROAD,,0,N,S22-08884,TUESDAY,05:19,61,77,5552
433,07/12/2022,S8S116FN45DM,DANBY ROAD,,0,N,S22-08875,TUESDAY,00:52,61,77,5551
434,07/12/2022,S8S119FN4PCF,LLOYD STARKS ROAD,,1,N,S22-08882,TUESDAY,02:59,04,99,5557
435,07/13/2022,S8S115FN9P2G,WEST DANBY ROAD,,1,N,S22-08969,WEDNESDAY,18:12,11,99,5551
436,07/13/2022,S8S108FN9B63,ELLLIS HOLLOW ROAD,,0,N,S22-08959,WEDNESDAY,15:32,45,77,5501
437,07/13/2022,S8S115FN9KCD,NEWFIELD DEPOT ROAD,,1,N,S22-08967,WEDNESDAY,17:24,46,77,5557
438,07/13/2022,S8S112FN878Z,PERU ROAD,,0,N,S22-08928,WEDNESDAY,07:41,04,77,5522
439,07/15/2022,S8S107FNGS7T,HANSHAW ROAD,,0,N,S22-09059,FRIDAY,08:34,13,61,5552
440,07/15/2022,S8S108FNGPDR,SPRING STREET EXTENSION,,0,N,S22-09057,FRIDAY,07:57,61,77,5554
441,07/15/2022,S8S108FNH8GT,GRAHAM ROAD WEST,BUTLER ROAD,0,N,S22-09065,FRIDAY,12:14,13,77,5523
442,07/16/2022,S8S115FNKSH7,CORTLAND ROAD,,0,N,S22-09095,SATURDAY,07:10,61,77,5554
443,07/16/2022,S8S109FNM876,SLATERVILLE ROAD,,0,N,S22-09112,SATURDAY,17:45,61,77,5555
444,07/17/2022,S8S107FNR8JJ,RIDGE ROAD,,0,N,S22-09156,SUNDAY,23:59,61,77,5556
445,07/17/2022,S8S107FNNRRF,PORTLAND POINT ROAD,,0,N,S22-09128,SUNDAY,05:29,61,77,5556
446,07/18/2022,S8S113FNSHK2,ELMIRA ROAD,,0,N,S22-09169,MONDAY,09:36,13,77,5555
