,Count Location,FROM,TO,AADT,lat,long,slat,slong,flat,flong
112,Hudson St,Prospect St,Aurora St,"2,145",42.43803940000001,-76.493867,42.43767090000001,-76.492775,42.4384079,-76.494959
113,Jacksonville Rd,Rt 96,Taughaanock Park Rd,760,42.5219079,-76.6141215,42.5083448,-76.614679,42.535471,-76.613564
114,Jersey Hill Rd,Town Line Rd,King Rd W,424,42.38063495,-76.52678900000001,42.3824199,-76.536439,42.37885,-76.517139
115,Jersey Hill Rd,Comfort Rd,Gunderman Rd,220,42.368779450000005,-76.515607,42.3787529,-76.508836,42.358806,-76.522378
116,Johnson St,Main St,Freeville V/L,625,42.4789611,-76.42424105,42.4439614,-76.5018807,42.5139608,-76.3466014
117,Judd Falls Rd,Dryden Rd,Tower Rd,"4,725",42.44567365,-76.46928109999999,42.4438102,-76.4686882,42.4475371,-76.46987399999999
118,Judd Falls Rd,Tower Rd,Forest Home Dr,"4,229",42.450233499999996,-76.47075899999999,42.4475371,-76.46987399999999,42.4529299,-76.471644
119,King Rd E,Rt 96B,Coddington Rd,"2,532",42.42501005,-76.49255105,42.4263762,-76.4993603,42.4236439,-76.4857418
120,King Rd W,Stone Quarry Rd,Rt 96B,"3,993",42.4246706,-76.50449615,42.422965,-76.509632,42.4263762,-76.4993603
121,King Rd W,Danby T/L,Buttermilk Falls Rd,"1,046",42.41301925,-76.5136479,42.4079584,-76.50312509999999,42.4180801,-76.5241707
122,Kraft Rd,Dubois Rd,Rt 89,200,42.52280435,-76.57425075,42.519309,-76.577879,42.5262997,-76.5706225
123,Ladoga Park Rd,Myers Rd,End,97,42.4897392,-76.52740825000001,42.5365679,-76.5402249,42.4429105,-76.5145916
124,Ladoga Park West,Myers Rd,Ladoga Park East,32,42.53629994999999,-76.54088445,42.53695889999999,-76.541949,42.535641,-76.5398199
125,Lafayette Rd,Cemetery Rd,Rt 222,284,42.44344285,-76.3803988,42.2929961,-76.4737048,42.5938896,-76.2870928
126,Lake St,University Ave,Falls St,"3,090",42.451292699999996,-76.4933833,42.4496974,-76.4920966,42.452888,-76.49467
127,Lake St,Falls St,Ithaca C/L,"3,324",42.43640545,-76.4958022,42.452888,-76.49467,42.4199229,-76.4969344
128,Lake St,Rt 96,Trumansburg V/L,542,42.45357065,-76.50845645000001,42.449698,-76.4920977,42.4574433,-76.5248152
129,Lansingville Rd,Rt 34B,County Line,963,42.57364105,-76.55089240000001,42.5567716,-76.5480809,42.5905105,-76.5537039
130,Lewis St,West Main St,Freeville Rd,622,42.4789611,-76.42424105,42.4439614,-76.5018807,42.5139608,-76.3466014
131,Lincoln St,Cayuga St,Lake St,"2,127",42.452069550000004,-76.49717285,42.45198,-76.49972900000002,42.4521591,-76.4946167
132,Linn St,Court St E,End,324,42.445037,-76.49471750000001,42.442713,-76.49462,42.447361,-76.494815
133,Locke Rd,Rt 34,Breed Rd,"1,475",42.61177105,-76.48758959999999,42.6113918,-76.49726369999999,42.6121503,-76.4779155
134,Lockerby Hill Rd,Lansingville Rd,Salmon Creek Rd,316,42.593738,-76.543757,42.594823,-76.553963,42.592653,-76.533551
135,Lounsberry Rd,Valley Rd,Rt 79,824,42.38800239999999,-76.38165685,42.3816184,-76.388094,42.39438639999999,-76.3752197
136,Lounsbery Rd,White Church Rd,Brooktondale Rd,"1,104",42.381867400000004,-76.3880095,42.3816184,-76.388094,42.3821164,-76.387925
137,Count Location,FROM,TO,AADT,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
138,Lower Creek Rd,Hanshaw Rd,Etna Ln,412,42.47874845,-76.4078356,42.4720374,-76.430492,42.4854595,-76.3851792
139,Madison St,Willow Ave,Second St,412,42.44806065,-76.50344279999999,42.4501684,-76.5035497,42.4459529,-76.5033359
140,Main St - Newfield,Shaffer Rd,Rt 13,"2,114",42.3606672,-76.593516,42.3606672,-76.593516,42.3606672,-76.593516
141,Main St - Newfield,Rt 13,Shaffer Rd,"1,685",42.3606672,-76.593516,42.3606672,-76.593516,42.3606672,-76.593516
142,Maple Ave,Dryden Rd,Ithaca C/L,"2,574",42.4411589,-76.4776807,42.4411589,-76.4776807,42.4411589,-76.4776807
143,Maple Ave,Ithaca C/L,Pine Tree Rd,"1,811",42.4406187,-76.47200385,42.4411589,-76.4776807,42.4400785,-76.46632699999999
144,McLean-Cortland Rd,Gulf Hill Rd,County Line,"5,953",42.48951845,-76.38506575,42.5350755,-76.26825079999999,42.4439614,-76.5018807
145,Middaugh Rd,Coddington Rd,Brooktondale Rd,825,42.3813974,-76.41450019999999,42.3727244,-76.4150714,42.3900704,-76.413929
146,Mill Rd,Old 76 Rd,County Line,465,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
147,Mill St,Freeville V/L,West Dryden Rd,366,42.516245999999995,-76.3546559,42.5139608,-76.3466014,42.5185312,-76.3627104
148,Mill St,Ferguson Rd,West Main St,397,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
149,Milliken Station Rd,Miliken Station Rd Ext,Cayuga Dr,62,42.606275600000004,-76.61958135,42.6068146,-76.6182528,42.6057366,-76.6209099
150,Mitchell St,Ithaca Rd,Ithaca C/L,"3,348",42.4375651,-76.4817229,42.4375651,-76.4817229,42.4375651,-76.4817229
151,Mitchell St,Ithaca C/L,Pine Tree Rd,"3,290",42.43692515,-76.47312224999999,42.4375651,-76.4817229,42.4362852,-76.4645216
152,Morrell Rd,Cayuta Rd,End,17,42.36587715,-76.59604615,42.2877929,-76.6902116,42.4439614,-76.5018807
153,N Triphammer Rd,Rt 34B,Rt 34,"5,257",42.539309149999994,-76.49286115,42.5384399,-76.4926385,42.54017839999999,-76.4930838
154,N Triphammer Rd,Waterwagon Rd,Rt 34B,"6,607",42.5272864,-76.49196045000001,42.5161329,-76.49128240000002,42.5384399,-76.4926385
155,N Triphammer Rd,Lansing V/L,Waterwagon Rd,"6,366",42.510805149999996,-76.49105020000002,42.5054774,-76.490818,42.5161329,-76.49128240000002
156,Newfield Depot Rd,Main St,Adams Rd,512,42.40456915,-76.53437485,42.4439614,-76.5018807,42.3651769,-76.566869
157,North Rd,Rt 13,Fall Creek Rd,"1,302",42.44758025,-76.49874175,42.4423764,-76.5107153,42.4527841,-76.4867682
158,Old 76 Rd,County Line,Mill Rd,374,42.36847875,-76.48779275,42.4439614,-76.5018807,42.2929961,-76.4737048
159,Old 76 Rd,Mill St,Smith Rd,451,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
160,Old Peruville Rd,Sobers Rd,Pleasant Valley Rd,246,42.5495904,-76.3712878,42.5479374,-76.37124969999999,42.5512434,-76.3713259
161,Old Peruville Rd,Pleasant Valley Rd,Peruville Rd,452,42.54980319999999,-76.36399420000001,42.5512434,-76.3713259,42.54836299999999,-76.3566625
162,Old Stage Rd,Champlin Rd,Groton City Rd,531,42.60329329999999,-76.28880525,42.60273129999999,-76.2946853,42.6038553,-76.2829252
163,Old Stage Rd,Rt 38,Salt Rd,698,42.6032235,-76.35007569999999,42.6065751,-76.3757337,42.5998719,-76.3244177
