,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV,lat,long,seconds_since,month
51,01/22/2022,S8S109F1X090,PERU SOUTH LANSING ROAD,,0,N,S22-00951,SATURDAY,12:00,61.0,77.0,5556,-9.189967,-75.015152,43200.0,1
52,01/23/2022,S8S107F228L0,SLATERVILLE ROAD,BURNS RD,0,N,S22-01016,Sunday,16:33,19.0,66.0,5555,42.4091943,-76.4565359,59580.0,1
53,01/23/2022,S8S112F22491,TRUMANSBURG ROAD,IRADELL ROAD,0,N,S22-01013,SUNDAY,15:40,66.0,77.0,5558,42.4805387,-76.6268373,56400.0,1
54,01/23/2022,S8S107F22DGD,DRYDEN HARFORD ROAD,,0,N,S22-01022,SUNDAY,17:46,61.0,77.0,5552,42.4555365,-76.2797697,63960.0,1
55,01/23/2022,S8S107F229FW,SLATERVILLE ROAD,BURNS RD,0,N,S22-01019,Sunday,16:33,19.0,66.0,5555,42.4091943,-76.4565359,59580.0,1
56,01/24/2022,S8S107F25KM2,MIDLINE ROAD,,0,N,S22-01067,MONDAY,17:35,19.0,66.0,5552,42.4213104,-76.3411547,63300.0,1
57,01/25/2022,S8S115F27DQL,ELMIRA ROAD,,0,N,S21-01085,TUESDAY,06:30,61.0,77.0,5557,42.362536,-76.5957859,23400.0,1
58,01/25/2022,S8S114F296GK,SPRING STREET EXTENSION,,1,N,S22-01124,TUESDAY,20:40,13.0,99.0,5554,42.5902701,-76.4197353,74400.0,1
59,01/25/2022,S8S119F29163,EAST MAIN STREET,,0,N,S22-01122,Tuesday,19:33,27.0,16.0,5524,42.539888,-76.6551386,70380.0,1
60,01/26/2022,S8S113F2C79D,BROWN ROAD,THORNWOOD DRIVE,0,N,S22-01148,Wednesday,11:57,7.0,77.0,5523,42.4842818,-76.461153,43020.0,1
61,01/26/2022,S8S108F2BM7F,WEST DANBY ROAD,,0,N,S22-01137,Wednesday,07:00,61.0,9.0,5551,42.3406625,-76.5354786,25200.0,1
62,01/27/2022,S8S111F2GW6P,SLATERVILLE ROAD,,0,N,S22-01207,Thursday,15:05,60.0,77.0,5550,42.3947362,-76.3769443,54300.0,1
63,01/27/2022,S8S113F2FW46,NORTH STREET,ELLIS DRIVE,0,N,S22-01190,Thursday,07:46,9.0,77.0,5552,42.4996994,-76.30048,27960.0,1
64,01/27/2022,S8S111F2HLHM,DRYDEN ROAD,,0,N,S22-01223,THURSDAY,21:01,61.0,77.0,5520,42.4704369,-76.4034517,75660.0,1
65,01/27/2022,S8S118F2HKJX,MECKLENBURG ROAD,,0,N,S22-01222,THURSDAY,20:33,61.0,77.0,5555,42.4516637,-76.608651,73980.0,1
66,01/27/2022,S8S111F2H9RT,SLATERVILLE ROAD,,0,N,S22-01213,THURSDAY,18:30,61.0,77.0,5550,42.3947362,-76.3769443,66600.0,1
67,01/28/2022,S8S111F2LLBZ,PERU SOUTH LANSING ROAD,,0,N,S22-01279,FRIDAY,19:16,61.0,77.0,5552,-9.189967,-75.015152,69360.0,1
68,01/28/2022,S8DEP1F2NTM3,WEST DANBY ROAD,ELMIRA ROAD,1,N,S22-01285,FRIDAY,22:33,2.0,19.0,5555,42.362536,-76.5957859,81180.0,1
69,01/28/2022,S8S115F2JWD2,TRUMANSBURG ROAD,WOOLF LANE,0,N,S22-01248,Friday,06:18,13.0,77.0,5555,42.477703,-76.552922,22680.0,1
70,01/28/2022,S8S113F2KRJQ,ELLIS HOLLOW ROAD,,0,N,S22-01265,FRIDAY,12:53,61.0,77.0,5552,42.427384,-76.4116156,46380.0,1
71,01/28/2022,S80K91F2JD61,CREAMERY ROAD,,0,N,S22-01240,FRIDAY,02:34,18.0,77.0,5550,42.3868153,-76.3501838,9240.0,1
72,01/29/2022,S80K91F2MJ54,CAYUGA STREET,,0,N,S22-01292,Saturday,02:33,61.0,77.0,5524,42.4506529,-76.499646,9180.0,1
73,01/29/2022,S8S116F2PGHW,MILLARD HILL ROAD,BURDGE HILL ROAD,3,N,S22-01315,SATURDAY,04:46,61.0,77.0,5557,42.3783233,-76.5836916,17160.0,1
